Land;Gewässer;Station;Abholdatum / Uhrzeit;Messdatum / Uhrzeit;Durchfluss;Einheit Durchfluss;Pegel;Einheit Pegel;Temperatur;Einheit Temperatur;PH-Wert;Einheit PH-Wert;PH-Gehalt stromaufwärts;Einheit PH-Wert;Kalkgehalt;Einheit Kalkgehalt;Silikatgehalt;Einheit Silikatgehalt
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:55:06;12.08.21 17:46:39;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:55:06;12.08.21 17:53:49;11.0;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:00:07;12.08.21 17:58:24;54.4;m³/s;216.2;cm;17.8;°C;6.51;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:00:07;12.08.21 17:58:54;48.3;m³/s;;;16.1;°C;6.25;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:00:07;12.08.21 17:46:39;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:00:07;12.08.21 17:58:51;10.9;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:05:07;12.08.21 18:03:24;54.2;m³/s;215.8;cm;17.8;°C;6.62;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:05:07;12.08.21 18:03:54;48.3;m³/s;;;16.1;°C;6.25;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:05:07;12.08.21 17:46:39;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:05:07;12.08.21 18:03:50;11.0;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:10:18;12.08.21 18:08:27;54.4;m³/s;216.2;cm;17.8;°C;6.56;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:10:18;12.08.21 18:08:53;48.3;m³/s;;;16.0;°C;6.25;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:10:18;12.08.21 18:06:43;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:10:18;12.08.21 18:08:52;10.9;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:15:06;12.08.21 18:13:25;54.2;m³/s;215.8;cm;17.8;°C;6.72;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:15:06;12.08.21 18:13:53;48.3;m³/s;;;16.0;°C;6.26;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:15:06;12.08.21 18:06:41;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:15:06;12.08.21 18:13:51;11.0;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:20:11;12.08.21 18:18:25;54.0;m³/s;215.3;cm;17.8;°C;6.71;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:20:11;12.08.21 18:18:54;48.3;m³/s;;;16.0;°C;6.26;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:20:11;12.08.21 18:06:41;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:20:11;12.08.21 18:18:50;10.9;m³/s;;;;;6.22;pH;5.97;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:25:07;12.08.21 18:23:24;54.0;m³/s;215.3;cm;17.8;°C;6.64;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:25:07;12.08.21 18:23:54;48.3;m³/s;;;16.0;°C;6.25;pH;6.14;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:25:07;12.08.21 18:06:40;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:25:07;12.08.21 18:23:51;11.0;m³/s;;;;;6.2;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:30:03;12.08.21 18:28:25;54.0;m³/s;215.3;cm;17.8;°C;6.6;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:30:03;12.08.21 18:28:54;48.3;m³/s;;;16.1;°C;6.25;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:30:03;12.08.21 18:27:32;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:30:03;12.08.21 18:28:50;10.9;m³/s;;;;;6.2;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:35:03;12.08.21 18:33:25;53.8;m³/s;214.9;cm;17.8;°C;6.72;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:35:03;12.08.21 18:33:54;47.9;m³/s;;;16.0;°C;6.25;pH;6.15;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:35:03;12.08.21 18:27:32;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:35:03;12.08.21 18:33:52;10.9;m³/s;;;;;6.2;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:40:03;12.08.21 18:39:26;53.8;m³/s;214.9;cm;17.8;°C;6.75;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:40:03;12.08.21 18:39:23;47.9;m³/s;;;16.0;°C;6.25;pH;6.15;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:40:03;12.08.21 18:27:33;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:40:03;12.08.21 18:38:52;10.9;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:45:03;12.08.21 18:44:26;53.7;m³/s;214.5;cm;17.8;°C;6.56;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:45:03;12.08.21 18:44:23;47.9;m³/s;;;16.0;°C;6.25;pH;6.13;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:45:03;12.08.21 18:27:33;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:45:03;12.08.21 18:43:52;10.8;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:50:03;12.08.21 18:49:25;53.8;m³/s;214.9;cm;17.9;°C;6.71;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:50:03;12.08.21 18:49:24;47.4;m³/s;;;16.0;°C;6.25;pH;6.15;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:50:03;12.08.21 18:27:32;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 18:50:03;12.08.21 18:48:50;10.8;m³/s;;;;;6.21;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 18:55:03;12.08.21 18:54:24;53.7;m³/s;214.5;cm;17.9;°C;6.55;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 18:55:03;12.08.21 18:54:24;47.4;m³/s;;;15.9;°C;6.27;pH;6.14;pH;35.4;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 18:55:03;12.08.21 18:27:31;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
